confundir; -1
exigen; 0
actua; 0
trier; 0
sacando; -1
conecta; 0
accidentes; -1
roza; 0
altos; -1
cortos; 1
fumaban; 1
agujas; 0
saldar; -1
almacenes; 0
pasote; 1
obligar; -1
aprobaran; 0
garantizaremos; 1
torpes; 1
incondicionales; 1
bernardo; 0
alegria; 1
tenso; -1
racismo; 1
conste; 0
pidieran; 1
chaco; 1
perdona; 0
aguo; 1
pus; 0
concurrido; 0
humana; 0
helen; -1
sinceridad; 1
varas; 0
emitidos; 1
irregularidad; -1
titulaciones; 1
apuntes; 0
comparen; -1
coroneles; 1
estricta; -1
tomo; 1
voy; 0
pasen; 0
docil; 0
saneadas; 0
tarda; -1
desprestigio; -1
bolsillo; -1
aconseja; 0
tito; 1
grande; 1
carreteras; -1
desato; -1
choque; -1
herederos; -1
interrumpir; -1
falsificado; 1
pareja; 0
catedral; 0
brindis; 1
malgasten; -1
trabajando; 1
escudo; 0
ofrecimos; 1
piquetistas; 1
construya; 1
bloqueado; -1
traslade; 1
curiosa; 0
barbaras; 1
relativamente; 0
engordan; 1
concesion; -1
colaboracion; 1
recordara; 0
incrementar; 0
normativo; 1
golear; 1
alucinando; 0
concertino; 1
cobraron; 0
insulten; -1
defensas; 1
equipamiento; 1
fraguo; 1
mandarina; 1
olvidada; 0
bostezar; 1
macas; 1
represalias; 1
pedazo; 1
vinculos; 1
imperdonable; -1
conazo; 0
transformara; 0
utopia; 1
acredita; 1
ajena; -1
naranja; 0
jacta; 0
marginar; 1
deficiente; -1
bar; 0
desgravaciones; 0
mesen; 1
miro; 0
cantaremos; 0
desproporcionado; -1
florecen; 1
cumplidor; 1
conspiracion; -1
novia; 0
indican; 0
miraba; 1
cuelgo; -1
exportas; 1
comedores; 1
acariciar; 1
fiel; 1
transcurridos; 1
recusa; 0
chifla; 1
sumen; 1
sharia; -1
interrupcion; -1
vayamos; -1
bunuelo; 1
infanticidio; 0
confrontaciones; 1
pensar; 0
debere; 1
endeudar; 1
hija; 0
machismo; -1
reputacion; 0
horrible; 0
trabajador; 0
energetica; 0
asumir; -1
aceptas; 0
vigilara; 1
futbol; 0
angulas; 0
inmerecido; 1
escoge; 1
dependen; 0
academia; 0
sitios; 0
escribir; 0
ven; 0
pintado; 0
prometedora; 1
relaciona; 0
privatizando; -1
recursos; 0
recordaba; 1
opinara; 1
alien; 1
infrahumanas; 1
descargan; 1
sexos; 1
rabieta; 1
cofra; 1
ambientes; 1
play; 0
regresen; 0
maneje; 1
rusia; 0
disenar; 0
votarse; 1
vocacion; 0
post; 0
cumpla; 0
tedio; 1
paciencia; 1
unir; 0
copiar; 0
moro; -1
tardaremos; 1
escalaras; 1
alternativos; 1
atadas; 0
graficos; 0
contar; 0
ocultos; -1
antisemitismo; -1
bonus; 0
socio; 0
cerro; -1
todavia; 0
alcanzar; 0
titere; 1
historico; 0
mangante; 1
cleo; 0
editora; 0
nubarron; 1
buenas; 1
ciudad; 0
permanece; 1
metr; 1
esquivar; -1
desastrosa; -1
sanguinario; 1
cogidos; 1
estructurales; -1
abandonada; 0
valen; 0
flipar; 1
subida; 0
interrumpa; 1
congelarse; 1
desorganizacion; 1
lunatico; 1
masajes; 1
talante; 0
florecer; 0
agencia; 0
vinculada; 1
gentileza; 0
apague; 0
sal; 0
convalidar; 1
insensatez; 1
bose; 0
hablas; 0
armaremos; 1
fantastico; 1
trampa; 0
pesima; -1
estudiado; 0
volverla; 1
cruzado; 0
gemas; 0
ensangrentada; 1
explicas; 1
corregidos; 1
planto; 0
marinera; 1
computo; 0
condicionen; 1
machistas; 0
frustrarla; 1
tocamos; 0
galardones; 1
vigilantes; 0
sobran; 0
conseguir; 1
tranquilos; 0
tolerar; 1
curadas; 1
miento; 1
pactados; 0
explotada; 1
